Zip,State,City,Region,District
15201,PA,"Pittsburgh, PA",East,District #13
15202,PA,"Pittsburgh, PA",East,District #13
15203,PA,"Pittsburgh, PA",East,District #13
15204,PA,"Pittsburgh, PA",East,District #13
15205,PA,"Pittsburgh, PA",East,District #13
15206,PA,"Pittsburgh, PA",East,District #13
15207,PA,"Pittsburgh, PA",East,District #13
15208,PA,"Pittsburgh, PA",East,District #13
15209,PA,"Pittsburgh, PA",East,District #13
15210,PA,"Pittsburgh, PA",East,District #13
15211,PA,"Pittsburgh, PA",East,District #13
15212,PA,"Pittsburgh, PA",East,District #13
15213,PA,"Pittsburgh, PA",East,District #13
15214,PA,"Pittsburgh, PA",East,District #13
15215,PA,"Pittsburgh, PA",East,District #13
15216,PA,"Pittsburgh, PA",East,District #13
15217,PA,"Pittsburgh, PA",East,District #13
15218,PA,"Pittsburgh, PA",East,District #13
15219,PA,"Pittsburgh, PA",East,District #13
15220,PA,"Pittsburgh, PA",East,District #13
15221,PA,"Pittsburgh, PA",East,District #13
15222,PA,"Pittsburgh, PA",East,District #13
15223,PA,"Pittsburgh, PA",East,District #13
15224,PA,"Pittsburgh, PA",East,District #13
15225,PA,"Pittsburgh, PA",East,District #13
15226,PA,"Pittsburgh, PA",East,District #13
15227,PA,"Pittsburgh, PA",East,District #13
15228,PA,"Pittsburgh, PA",East,District #13
15229,PA,"Pittsburgh, PA",East,District #13
15230,PA,"Pittsburgh, PA",East,District #13
15231,PA,"Pittsburgh, PA",East,District #13
15232,PA,"Pittsburgh, PA",East,District #13
15233,PA,"Pittsburgh, PA",East,District #13
15234,PA,"Pittsburgh, PA",East,District #13
15235,PA,"Pittsburgh, PA",East,District #13
15236,PA,"Pittsburgh, PA",East,District #13
15237,PA,"Pittsburgh, PA",East,District #13
15238,PA,"Pittsburgh, PA",East,District #13
15239,PA,"Pittsburgh, PA",East,District #13
15240,PA,"Pittsburgh, PA",East,District #13
15241,PA,"Pittsburgh, PA",East,District #13
15242,PA,"Pittsburgh, PA",East,District #13
15243,PA,"Pittsburgh, PA",East,District #13
15244,PA,"Pittsburgh, PA",East,District #13
15250,PA,"Pittsburgh, PA",East,District #13
15251,PA,"Pittsburgh, PA",East,District #13
15252,PA,"Pittsburgh, PA",East,District #13
15253,PA,"Pittsburgh, PA",East,District #13
15254,PA,"Pittsburgh, PA",East,District #13
15255,PA,"Pittsburgh, PA",East,District #13
15257,PA,"Pittsburgh, PA",East,District #13
15258,PA,"Pittsburgh, PA",East,District #13
15259,PA,"Pittsburgh, PA",East,District #13
15260,PA,"Pittsburgh, PA",East,District #13
15261,PA,"Pittsburgh, PA",East,District #13
15262,PA,"Pittsburgh, PA",East,District #13
15264,PA,"Pittsburgh, PA",East,District #13
15265,PA,"Pittsburgh, PA",East,District #13
15267,PA,"Pittsburgh, PA",East,District #13
15268,PA,"Pittsburgh, PA",East,District #13
15270,PA,"Pittsburgh, PA",East,District #13
15272,PA,"Pittsburgh, PA",East,District #13
15274,PA,"Pittsburgh, PA",East,District #13
15275,PA,"Pittsburgh, PA",East,District #13
15276,PA,"Pittsburgh, PA",East,District #13
15277,PA,"Pittsburgh, PA",East,District #13
15278,PA,"Pittsburgh, PA",East,District #13
15279,PA,"Pittsburgh, PA",East,District #13
15281,PA,"Pittsburgh, PA",East,District #13
15282,PA,"Pittsburgh, PA",East,District #13
15283,PA,"Pittsburgh, PA",East,District #13
15286,PA,"Pittsburgh, PA",East,District #13
15289,PA,"Pittsburgh, PA",East,District #13
15290,PA,"Pittsburgh, PA",East,District #13
15295,PA,"Pittsburgh, PA",East,District #13
15001,PA,"Aliquippa, PA",East,District #13
15003,PA,"Ambridge, PA",East,District #13
15004,PA,"Atlasburg, PA",East,District #13
15005,PA,"Baden, PA",East,District #13
15006,PA,"Bairdford, PA",East,District #13
15007,PA,"Bakerstown, PA",East,District #13
15009,PA,"Beaver, PA",East,District #13
15010,PA,"Beaver Falls, PA",East,District #13
15012,PA,"Belle Vernon, PA",East,District #13
15014,PA,"Brackenridge, PA",East,District #13
15015,PA,"Bradfordwoods, PA",East,District #13
15017,PA,"Bridgeville, PA",East,District #13
15018,PA,"Buena Vista, PA",East,District #13
15019,PA,"Bulger, PA",East,District #13
15020,PA,"Bunola, PA",East,District #13
15021,PA,"Burgettstown, PA",East,District #13
15022,PA,"Charleroi, PA",East,District #13
15024,PA,"Cheswick, PA",East,District #13
15025,PA,"Clairton, PA",East,District #13
15026,PA,"Clinton, PA",East,District #13
15027,PA,"Conway, PA",East,District #13
15028,PA,"Coulters, PA",East,District #13
15030,PA,"Creighton, PA",East,District #13
15031,PA,"Cuddy, PA",East,District #13
15032,PA,"Curtisville, PA",East,District #13
15033,PA,"Donora, PA",East,District #13
15034,PA,"Dravosburg, PA",East,District #13
15035,PA,"East Mc Keesport, PA",East,District #13
15037,PA,"Elizabeth, PA",East,District #13
15038,PA,"Elrama, PA",East,District #13
15042,PA,"Freedom, PA",East,District #13
15043,PA,"Georgetown, PA",East,District #13
15044,PA,"Gibsonia, PA",East,District #13
15045,PA,"Glassport, PA",East,District #13
15046,PA,"Crescent, PA",East,District #13
15047,PA,"Greenock, PA",East,District #13
15049,PA,"Harwick, PA",East,District #13
15050,PA,"Hookstown, PA",East,District #13
15051,PA,"Indianola, PA",East,District #13
15052,PA,"Industry, PA",East,District #13
15053,PA,"Joffre, PA",East,District #13
15054,PA,"Langeloth, PA",East,District #13
15055,PA,"Lawrence, PA",East,District #13
15056,PA,"Leetsdale, PA",East,District #13
15057,PA,"Mc Donald, PA",East,District #13
15059,PA,"Midland, PA",East,District #13
15060,PA,"Midway, PA",East,District #13
15061,PA,"Monaca, PA",East,District #13
15062,PA,"Monessen, PA",East,District #13
15063,PA,"Monongahela, PA",East,District #13
15064,PA,"Morgan, PA",East,District #13
15065,PA,"Natrona Heights, PA",East,District #13
15066,PA,"New Brighton, PA",East,District #13
15067,PA,"New Eagle, PA",East,District #13
15068,PA,"New Kensington, PA",East,District #13
15069,PA,"New Kensington, PA",East,District #13
15071,PA,"Oakdale, PA",East,District #13
15072,PA,"Pricedale, PA",East,District #13
15074,PA,"Rochester, PA",East,District #13
15075,PA,"Rural Ridge, PA",East,District #13
15076,PA,"Russellton, PA",East,District #13
15077,PA,"Shippingport, PA",East,District #13
15078,PA,"Slovan, PA",East,District #13
15081,PA,"South Heights, PA",East,District #13
15082,PA,"Sturgeon, PA",East,District #13
15083,PA,"Sutersville, PA",East,District #13
15084,PA,"Tarentum, PA",East,District #13
15085,PA,"Trafford, PA",East,District #13
15086,PA,"Warrendale, PA",East,District #13
15087,PA,"Webster, PA",East,District #13
15088,PA,"West Elizabeth, PA",East,District #13
15089,PA,"West Newton, PA",East,District #13
15090,PA,"Wexford, PA",East,District #13
15091,PA,"Wildwood, PA",East,District #13
15095,PA,"Warrendale, PA",East,District #13
15096,PA,"Warrendale, PA",East,District #13
15101,PA,"Allison Park, PA",East,District #13
15102,PA,"Bethel Park, PA",East,District #13
15104,PA,"Braddock, PA",East,District #13
15106,PA,"Carnegie, PA",East,District #13
15108,PA,"Coraopolis, PA",East,District #13
15110,PA,"Duquesne, PA",East,District #13
15112,PA,"East Pittsburgh, PA",East,District #13
15116,PA,"Glenshaw, PA",East,District #13
15120,PA,"Homestead, PA",East,District #13
15122,PA,"West Mifflin, PA",East,District #13
15123,PA,"West Mifflin, PA",East,District #13
15126,PA,"Imperial, PA",East,District #13
15127,PA,"Ingomar, PA",East,District #13
15129,PA,"South Park, PA",East,District #13
15131,PA,"Mckeesport, PA",East,District #13
15132,PA,"Mckeesport, PA",East,District #13
15133,PA,"Mckeesport, PA",East,District #13
15134,PA,"Mckeesport, PA",East,District #13
15135,PA,"Mckeesport, PA",East,District #13
15136,PA,"Mc Kees Rocks, PA",East,District #13
15137,PA,"North Versailles, PA",East,District #13
15139,PA,"Oakmont, PA",East,District #13
15140,PA,"Pitcairn, PA",East,District #13
15142,PA,"Presto, PA",East,District #13
15143,PA,"Sewickley, PA",East,District #13
15144,PA,"Springdale, PA",East,District #13
15145,PA,"Turtle Creek, PA",East,District #13
15146,PA,"Monroeville, PA",East,District #13
15147,PA,"Verona, PA",East,District #13
15148,PA,"Wilmerding, PA",East,District #13
15301,PA,"Washington, PA",East,District #13
15311,PA,"Amity, PA",East,District #13
15312,PA,"Avella, PA",East,District #13
15313,PA,"Beallsville, PA",East,District #13
15314,PA,"Bentleyville, PA",East,District #13
15315,PA,"Bobtown, PA",East,District #13
15316,PA,"Brave, PA",East,District #13
15317,PA,"Canonsburg, PA",East,District #13
15320,PA,"Carmichaels, PA",East,District #13
15321,PA,"Cecil, PA",East,District #13
15322,PA,"Clarksville, PA",East,District #13
15323,PA,"Claysville, PA",East,District #13
15324,PA,"Cokeburg, PA",East,District #13
15325,PA,"Crucible, PA",East,District #13
15327,PA,"Dilliner, PA",East,District #13
15329,PA,"Prosperity, PA",East,District #13
15330,PA,"Eighty Four, PA",East,District #13
15331,PA,"Ellsworth, PA",East,District #13
15332,PA,"Finleyville, PA",East,District #13
15333,PA,"Fredericktown, PA",East,District #13
15334,PA,"Garards Fort, PA",East,District #13
15336,PA,"Gastonville, PA",East,District #13
15337,PA,"Graysville, PA",East,District #13
15338,PA,"Greensboro, PA",East,District #13
15339,PA,"Hendersonville, PA",East,District #13
15340,PA,"Hickory, PA",East,District #13
15341,PA,"Holbrook, PA",East,District #13
15342,PA,"Houston, PA",East,District #13
15344,PA,"Jefferson, PA",East,District #13
15345,PA,"Marianna, PA",East,District #13
15346,PA,"Mather, PA",East,District #13
15347,PA,"Meadow Lands, PA",East,District #13
15348,PA,"Millsboro, PA",East,District #13
15349,PA,"Mount Morris, PA",East,District #13
15350,PA,"Muse, PA",East,District #13
15351,PA,"Nemacolin, PA",East,District #13
15353,PA,"Nineveh, PA",East,District #13
15357,PA,"Rices Landing, PA",East,District #13
15358,PA,"Richeyville, PA",East,District #13
15359,PA,"Rogersville, PA",East,District #13
15360,PA,"Scenery Hill, PA",East,District #13
15361,PA,"Southview, PA",East,District #13
15362,PA,"Spraggs, PA",East,District #13
15363,PA,"Strabane, PA",East,District #13
15364,PA,"Sycamore, PA",East,District #13
15365,PA,"Taylorstown, PA",East,District #13
15366,PA,"Van Voorhis, PA",East,District #13
15367,PA,"Venetia, PA",East,District #13
15368,PA,"Vestaburg, PA",East,District #13
15370,PA,"Waynesburg, PA",East,District #13
15378,PA,"Westland, PA",East,District #13
15379,PA,"West Middletown, PA",East,District #13
15401,PA,"Uniontown, PA",East,District #13
15410,PA,"Adah, PA",East,District #13
15411,PA,"Addison, PA",East,District #13
15412,PA,"Allenport, PA",East,District #13
15413,PA,"Allison, PA",East,District #13
15415,PA,"Brier Hill, PA",East,District #13
15416,PA,"Brownfield, PA",East,District #13
15417,PA,"Brownsville, PA",East,District #13
15419,PA,"California, PA",East,District #13
15420,PA,"Cardale, PA",East,District #13
15421,PA,"Chalk Hill, PA",East,District #13
15422,PA,"Chestnut Ridge, PA",East,District #13
15423,PA,"Coal Center, PA",East,District #13
15424,PA,"Confluence, PA",East,District #13
15425,PA,"Connellsville, PA",East,District #13
15427,PA,"Daisytown, PA",East,District #13
15428,PA,"Dawson, PA",East,District #13
15429,PA,"Denbo, PA",East,District #13
15430,PA,"Dickerson Run, PA",East,District #13
15431,PA,"Dunbar, PA",East,District #13
15432,PA,"Dunlevy, PA",East,District #13
15433,PA,"East Millsboro, PA",East,District #13
15434,PA,"Elco, PA",East,District #13
15435,PA,"Fairbank, PA",East,District #13
15436,PA,"Fairchance, PA",East,District #13
15437,PA,"Farmington, PA",East,District #13
15438,PA,"Fayette City, PA",East,District #13
15439,PA,"Gans, PA",East,District #13
15440,PA,"Gibbon Glade, PA",East,District #13
15442,PA,"Grindstone, PA",East,District #13
15443,PA,"Hibbs, PA",East,District #13
15444,PA,"Hiller, PA",East,District #13
15445,PA,"Hopwood, PA",East,District #13
15446,PA,"Indian Head, PA",East,District #13
15447,PA,"Isabella, PA",East,District #13
15448,PA,"Jacobs Creek, PA",East,District #13
15449,PA,"Keisterville, PA",East,District #13
15450,PA,"La Belle, PA",East,District #13
15451,PA,"Lake Lynn, PA",East,District #13
15454,PA,"Leckrone, PA",East,District #13
15455,PA,"Leisenring, PA",East,District #13
15456,PA,"Lemont Furnace, PA",East,District #13
15458,PA,"Mc Clellandtown, PA",East,District #13
15459,PA,"Markleysburg, PA",East,District #13
15460,PA,"Martin, PA",East,District #13
15461,PA,"Masontown, PA",East,District #13
15462,PA,"Melcroft, PA",East,District #13
15463,PA,"Merrittstown, PA",East,District #13
15464,PA,"Mill Run, PA",East,District #13
15465,PA,"Mount Braddock, PA",East,District #13
15466,PA,"Newell, PA",East,District #13
15467,PA,"New Geneva, PA",East,District #13
15468,PA,"New Salem, PA",East,District #13
15469,PA,"Normalville, PA",East,District #13
15470,PA,"Ohiopyle, PA",East,District #13
15472,PA,"Oliver, PA",East,District #13
15473,PA,"Perryopolis, PA",East,District #13
15474,PA,"Point Marion, PA",East,District #13
15475,PA,"Republic, PA",East,District #13
15476,PA,"Ronco, PA",East,District #13
15477,PA,"Roscoe, PA",East,District #13
15478,PA,"Smithfield, PA",East,District #13
15479,PA,"Smithton, PA",East,District #13
15480,PA,"Smock, PA",East,District #13
15482,PA,"Star Junction, PA",East,District #13
15483,PA,"Stockdale, PA",East,District #13
15484,PA,"Uledi, PA",East,District #13
15485,PA,"Ursina, PA",East,District #13
15486,PA,"Vanderbilt, PA",East,District #13
15488,PA,"Waltersburg, PA",East,District #13
15489,PA,"West Leisenring, PA",East,District #13
